證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,漲跌幅
00925,新光標普電動車,260011,4022718,15.49,15.49,15.47,15.48,-0.3300,30,-4790.91
00899,FT潔淨能源,298721,5256216,17.82,17.82,17.50,17.58,-0.3700,215,-4851.35
00657,國泰日經225,904418,40405110,45.08,45.08,44.56,44.72,-0.8900,208,-5124.72
00661,元大日經225,955868,46726473,49.29,49.29,48.75,48.94,-0.9700,575,-5145.36
00920,富邦ESG綠色電力,643095,9732887,15.18,15.18,15.11,15.13,-0.2800,224,-5503.57
00645,富邦日本,2390719,89388838,37.32,37.52,37.30,37.38,-0.6700,2650,-5679.10
00885,富邦越南,12389098,150011930,12.18,12.19,12.05,12.07,-0.2100,3836,-5847.62
00660,元大歐洲50,39368,1385739,35.17,35.27,35.16,35.25,-0.6100,90,-5878.69
00910,第一金太空衛星,346350,6143423,17.75,17.78,17.71,17.71,-0.2700,30,-6659.26
00941,中信上游半導體,12315036,191552395,15.62,15.62,15.53,15.53,-0.2300,5224,-6852.17
